ID,Timestamp,Contact Method(s),Type progress note here:,Staff Person(s),Primary Issue Area,What organization are you referring this client to?,Ref person,Date of Interaction (mm/dd/yy),Any of the below outcomes achieved?,Date of Outcome (mm/dd/yy),"Based on client's Contact Info and Method, Issue Area, and Staff",Was this client referred to us FROM somewhere else?,IA: Reason for Coming to CSC,IA: Background Information,IA: Strengths,IA: Needs,Short Term Goals,Short Term Goal Timeline,Long Term Goals,Long Term Goal Timeline,ISP: What will you do?,ISP: What will the client do?,Internal Notes,CAPnote,CAPatt,Gross Income,Legal Rent,Type of Subsidy,Effective Rent,Income Period,Internal Notes (previous) + Contracts,cm-actID,dummy1,dummy2,dummy3,dummy4
122,11/19/2010 0:00,,(ATT),Christian,EE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn - att but not note - 2/22/2011,,,,,
122,11/30/2010 0:00,,(ATT),Christian,EE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn - att but not note - 2/22/2011,,,,,
122,12/9/2010 0:00,,(ATT),Christian,EE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn - att but not note - 2/22/2011,,,,,
122,1/5/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn - att but not note - 2/22/2011,,,,,
122,1/7/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn - att but not note - 2/22/2011,,,,,
122,2/1/2011 0:00,,(ATT),,ED,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn - att but not note - 2/22/2011,,,,,
122,2/7/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Capricorn - att but not note - 2/22/2011,,,,,
122,2/28/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
122,3/9/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
122,6/17/2011 12:39,,"Ms. Villanueva, came to us to get help completed her Co-op purchase agreement forms, in order to become a co-op owner.  Done",,OP,,,6/17/2011 0:00,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,cap - note & prob att counted 7/15/11; HPD CCC 3-6 2011 - C counted,,,,,
122,9/9/2011 13:25,,"First time she's mailing her receipts. Didn't know envelopes get stamps according to how heavy they are. Christian has always mailed her things for her, she never has.",,EE,,,,,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
122,3/8/2012 17:26,Person,"Get Ms. Villanueva to get help stop loosing her apartment, referral to  GOLES.",Christian,R,,,,R,,NEW,,"Ms. Villanueva, are resident of this community for more than 30 years, widow with three children, and needed help to keep her apartment, L/L sent her 30 days notice to vacate the apartment.",,,,"We got her an appoitment with Mr. Wassin at GOLES, in order him to work with her and prevent her to be evicted.",,"Get Ms. Villanueva to remain in her apartment with her children, getting in house or court stipulation agreement and stop eviction.",,,,,TRUE,TRUE,,,,,,,1,,,,
122,4/17/2012 0:00,,"Ms. Villanueva, needed help to get an appoitment with GOLES referent to eviction case and request from her son trustee funds for him to buy new telephone.",,"R, EP",,,4/18/2012 18:32,,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
122,5/14/2012 12:21,Person,"Came for mail, nothing came as of 11:30am.","Daniel, Steve",EE,,,,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,n,1,,,,
122,10/3/2012 11:16,Phone,"Bonnie called, asking if USett has GED prog for Jeremy. I told her I wasn't sure and I gave her a phone # for them (after school prog since i couldnt find central number), she said she'd call. Later emailed adult lit program (literacy@universitysettlement.org) asking if has.",Daniel,R,US,Adult Literacy Program,,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,,2,,,,
123,10/5/2010 0:00,Person,"James came in seeking advice regarding a number of issues.  Namely: lead paint, heat&hot-water, and general tenant organizing.

I'm going to get involved with his building and help him organize the tenants... and hopefully use our connection with CB3 the",Brandon,"HS, TA, C",,,10/5/2010 0:00,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
123,10/5/2010 0:00,,(ATT),Brandon,"HS, TA, C",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
123,10/18/2010 0:00,,(ATT),Brandon,"HS, TA, C",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
123,4/3/2011 0:00,Person,,Steve,AH,,,,,,,Flea,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
123,1/24/2012 13:51,Person,We were contacted my the Community Affairs Dept of the 9th Precinct NYPD.  Detective Hernadez is looking into the case.  I will be visiting the clients apartment soon as well.  i hope to witness an instance of the obscene noise and to talk to his neighbors about all.,Brandon,CN,,,,,,NEW,,Client has a intense nuisance neighbor situation.  The neighbor is playing a loud music at all hours of the night and preventing James and his family for getting a sound night of sleep.  We are assisting him to understand all the possible avenues for which he may address the problem.  Unfortunately it seems that his landlord may be intentionally prolonging the problem to harass the client out of his rent stabilized apartment.,,,,Educate client to his rights in such a case.,,Prevent displacement.,,Act as advocates on Jame's behalf and also counsel him to understand best way to document and build a case.,,,TRUE,TRUE,,,,,,,1,,,,
123,9/25/2012 15:47,,Client is in contact for advice as his case is finally going to court.  He has a long standing grievance with his LL regarding a nuisance neighbor.  We have recommended that he seek the assistance of Legal Aid for housing court.,,HC,,,,,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
123,10/11/2012 18:00,,Client continues to get his case in order as his day in court approaches.  We have had many conversations about all the aspects of his going pro-se or having a legal aid attorney represent him.,,HC,,,,,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
124,10/7/2010 0:00,Person,"flooding, 3"" of water.  LL won't come to look at it.  Said they'd have to wait for it to flood again so can see where water is coming from.","Daniel, John","C, R",Carroll Gardens Assoc Inc - http://www.dhcr.state.ny.us/apps/profiles/profile_detail.asp?applid=122,,,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, R counted",1,,,,
125,10/7/2010 0:00,,(ATT),,AH,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 9/16-12/15/10 counted,,,,,
126,9/30/2010 0:00,,(ATT),"Brandon, John",C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
126,10/7/2010 0:00,Person,"On 10/7, Brandon and I assisted Ms Milic, of 103 St. Marks Place, Apt. 5B.  We reviewed her documents and confirmed that her unit was deregulated.  However, we determined that the basis for the deregulation was questionable, given that several years ago w","Brandon, John",C,,,10/7/2010 0:00,Yes,10/7/2010 0:00,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted;; USE",1,,,,
127,10/10/2010 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
128,10/12/2010 0:00,Phone,Filed CSC Housing Eligibility Assessment,Daniel,AH,,,10/12/2010 0:00,,,NEW,GOLES: Wasim Lone,,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 9/16-12/15/10 counted,2,,,,
129,10/12/2010 0:00,,(ATT),,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,10/13/2010 0:00,Person,"Faxed to Mr. Crawford of HRA:
ConEd bill (for 9/1-10/1/2010) and Notice of Fair Hearing which is 10/28/2010 @ 10am
Faxed to Diane Spicer of Legal Aid:
Declaration of Income (HRA) form which we received by fax on 9/29/10.",Daniel,"ED, EE",,,,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,cap 6/30/11 prob incl att,1,,,,
130,10/13/2010 0:00,,(ATT),Christian,"ED, EE",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,10/18/2010 0:00,,"Faxed to John Bartos, letter pointing out illegality.",Christian,"ED, EE",,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,10/18/2010 0:00,,(ATT),Christian,"ED, EE",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,10/26/2010 0:00,,(ATT),Christian,"ED, EE",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,10/29/2010 0:00,,(ATT),Christian,"ED, EE",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,11/1/2010 0:00,,More copies (10/29/10),Christian,"ED, EE",,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,11/19/2010 0:00,,(ATT),Christian,"C, E",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,12/3/2010 0:00,,Became homebound.,Christian,"ED, EE",,,12/3/2010 0:00,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,cap 6/30/11 prob incl att,,,,,
130,12/7/2010 0:00,,(ATT),Christian,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,12/8/2010 0:00,,(ATT),Christian,EE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,12/22/2010 0:00,,(ATT),,ES,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,12/30/2010 0:00,,(ATT),,"ED, ES",,,,,12/31/2010 0:00,,,,,,,,,,,,,,FALSE,FALSE,,,"Sec8, FS",,,cap 6/30/11 prob incl att,,,,,
130,1/20/2011 0:00,,(ATT),,"EE, S",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,1/25/2011 0:00,,(ATT),,EE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,1/26/2011 0:00,,(ATT),,EE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,5/19/2011 17:53,Person,,Christian,"OP, C",,,5/19/2011 0:00,,,NEW,,"Ms> Juansen , Vietnan Vet., live in this community for the last 25 years, are because needed help for HRA home bound recertification and completed the MHA co-op program purchase agreement to become co-op share holder.",,,,"Make copies of the needed documents for tomorrow HRA home interview, and completed the documents for the purchase agreement and giving to her to take to be notarize.",,"Get her HRA get recertify, which will keep her apt. rent in place, as well as her Food Stamp and medicaid, also get to buy the share of her apt. to become co-op owner for low income people.",,"We call the HRA case mgr. who agree to come tomorrow ( 5/20/11) to visit her at the apt., we make all copies to giving to her for the review of the HRA recertification, also we completed all needed forms to be taken to the Notary Public to be sign for the",,,FALSE,FALSE,,,,,,HPD CCC 3-6 2011 - C counted; cap 6/30/11,1,,,,
130,5/31/2011 14:51,,"Ms.  Juansen, ask us to fill the application and money order for the Cooper Square Mutual Housing Purchase Agreement, we completed and giving to her to take in person to the mam. office of CSMHA.",,OP,,,5/31/2011 0:00,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,cap - note & prob att counted 7/15/11; HPD CCC 3-6 2011 - C counted,,,,,
130,6/21/2011 11:58,,"Ms. Juansen need help to completed the Purchase agreement for the MHA co-op conversion, to become apartment co=op owner, all documents got completed, and giving to Ms.Juansen to be  notarized and taken to MHA office .",,OP,,,6/20/2011 0:00,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,cap - note & prob att counted 7/15/11; HPD CCC 3-6 2011 - C counted,,,,,
130,1/3/2012 13:28,,On her own (no CSC help except to copy),Daniel,EE,,,,E1,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
130,2/21/2012 17:56,Person,"Ms. Juansen, need to completed the School Tax Credit, was done, sign and copy, and giving to client to be mail it.",Christian,EE,,,,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
130,5/15/2012 0:00,,"Ms. Juansen needed a paint job in order to get her Section 8 recertification approved it, spoke with bldg. mgr. Ms. Garcia and Nichole and they will look into next week (5/22/12), to getting done.",,"CR, ED",,,5/17/2012 14:32,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
131,11/23/2010 0:00,"Person, Email","This client and many others in his building and 5 others are being overcharged by their LL due to his dis-regard of the J-51 tax abatement for their building.

I've been hosting meetings and doing outreach to provide info to these tenants... to educate, o",Brandon,C,,,11/23/2010 0:00,Legal issues related to housing resolved,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted;; USE",1,,,,
132,11/24/2010 0:00,Phone,"Faxed website list, ads w no deadlines, Sec 8 broker list.",Daniel,AH,,,11/24/2010 0:00,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,HPD-AHC 9/16-12/15/10 counted,2,,,,
133,11/24/2010 0:00,Person,"Ms Stevenson inquired if her disability would be grounds for early termination of her lease.  I explained that such a right exists for senior citizens, but not for persons with disabilities, who relocate to an adult care facility, a residential health car",John,"C, DB",,,11/24/2010 0:00,Legal issues related to housing resolved,11/24/2010 0:00,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
133,11/24/2010 0:00,Person,(ATT),John,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
134,11/24/2010 0:00,,(ATT),,S,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
135,11/29/2010 0:00,Email,"I am a student at NYU who's lived in off-campus housing for 3 years.  I lived in an apartment on the upper east side from July 2008-July 2010 and after moving out a myriad of issues between my landlord, my former roommates, and myself have arose.  The two",Daniel,"C, R",MC,,11/29/2010 0:00,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, R counted",3,,,,
136,11/18/2010 0:00,Person,"11/18/10 -- Client had problems with SCRIE app and had not yet received her lease renewal from her LL.

11/20/10 -- Client provided me with Prop Man phone # and I was able to speak with the appropriate agents and get the renewal lease sent over.

12/10/10",Brandon,"ED, C, Mental Health",,,11/18/2010 0:00,"Legal issues related to housing resolved, Conflict resolved with landlord or other tenant",11/20/2010 0:00,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted; Cap - att & note/outcome - 2/22/2011; USE",1,,,,
136,11/18/2010 0:00,Person,(ATT),Brandon,"ED, C, Mental Health",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - att & note/outcome - 2/22/2011,1,,,,
136,11/24/2010 0:00,Person,(ATT),Brandon,"ED, C, Mental Health",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - att & note/outcome - 2/22/2011,1,,,,
136,11/29/2010 0:00,Person,(ATT),Brandon,"ED, C, Mental Health",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - att & note/outcome - 2/22/2011,1,,,,
136,1/31/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - att & note/outcome - 2/22/2011,,,,,
136,2/11/2011 0:00,,(ATT),,ED,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - att & note/outcome - 2/22/2011,,,,,
136,2/22/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
136,10/16/2012 18:28,,Client has come back (again this year) to receive help getting her renewal lease.  We are contacting her LL to see if we can get it.  Client is a senior and there are number of issue that make her case complicated.,,CN,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
136,2/5/2013 16:32,Person,"kathy brought 2012 W-2, we were able to complete SCRIE recert and mail to them today.","Christian, Daniel",ED,,,,E1,,NEW,,,,,,,,,,,,,TRUE,TRUE,20896,759.31,SCRIE,634.42,yr,,1,,,,
136,2/14/2013 10:57,Person,"APS came today to work on FS with her, is pushing LL to make repairs. APS worker needs SCRIE copy. I gave it to her.",Daniel,ED,,,,,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,FS,,,,1,,,,
136,2/21/2013 14:56,,"We received notification (as secondary contact) that her SCRIE approved retroactively, for 12/1/12-11/30/14, still frozen at 634.42. She had received paperwork but didn't want to submit until had every document.",Christian,ED,,,,E4,2/13/2013 0:00,CONT,,,,,,,,,,,,,TRUE,TRUE,,,SCRIE,,,,,,,,
137,11/5/2010 0:00,,(ATT),Christian,"ED, EE",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
137,11/29/2010 0:00,Person,Ms Liriano came in for help drafting a letter to the MHA board of directors asking them to expedite her request for a transfer from a one- to a two-bedroom apartment.  I met with Nicole of MHA to ascertain what the letter should say.  I prepared a letter,John,C,,,11/29/2010 0:00,Conflict resolved with landlord or other tenant,11/29/2010 0:00,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,"HPD-CCC 7/10-2/11, compiled 3/1/11, C or EH counted;; USE",1,,,,
137,11/29/2010 0:00,,"(ATT), Internal MHA transfer.",,"ED, C",,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
137,1/7/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
137,2/3/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
137,2/1/2012 0:00,Person,The recertification for HRA was completed and giving to client to take for her interview with then.,Christian,EI,,,2/1/2012 19:38,E1,,NEW,,"Client are a single mother of three, who are a home attendant, but not make enough money to support her family,  and she need help to completed her HRA ( public assistance) recertification in order to keep benefits in place.",,,,"To continue to keep in place rent assistance, food stamp, medicaid, cash grant,for her and her children.",,,,"She have to go to her appoiment with HRA, and present all the documents that we have completed and giving all the copies that we made for then in order to comply with they request.",,,TRUE,TRUE,,,,,,,1,,,,
137,2/1/2012 12:12,Person,"Gave her flyer on phone recert for FS. Also told her she can request Spanish form by phone or at office. She said she'll return for Christian, and next time ask for forms in Spanish. Not due until 2/20.",Daniel,EI,,,,,,NEW,,,,,,,,,,,,,TRUE,TRUE,,,,,,,1,,,,
137,3/30/2012 0:00,,,,,,,,E2,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
137,1/28/2013 0:00,,"Client is a reliable individual who needs help remembering deadlines. Client means well, but often her re-certifications take some time because client waits till the last minute to do this.",,EI,,,1/28/2013 15:01,E1,,NARR,,Help with Re-certification of Food Stamps,Client is an MHA tenant who is low income and needs assistance applying for entitlements.,Client always comes prepare and is never tardy. Keeps appointments and is always ready to provide information needed.,Needs help with forms because client is functionally literate.,Re-certify for entitlement programs.,1/31/2013,Continue to keep information up to date for re-certification purposes so that client may be able to keep her entitlements opened and active.,1/31/2014,Will help client fill out the forms for re-certification. Will help make copies of appropriate documents to send into the HRA office.,will collect all of the documents needed for applying. Will also take the completed forms into the HRA office when appointment is set up.,,TRUE,TRUE,,,FS,,,,,,,,
138,11/29/2010 0:00,,(ATT),John,OP,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,11/15/2010 0:00,,(ATT),Christian,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,11/22/2010 0:00,,(ATT),John,OP,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,11/29/2010 0:00,,(ATT),John,OP,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,12/13/2010 0:00,,(ATT),Christian,C,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,12/20/2010 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,1/13/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,1/24/2011 0:00,,(ATT),,ED,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,1/31/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,2/3/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,2/14/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,2/24/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,3/7/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
139,12/5/2011 16:00,Person,DW told George that he would not be obligated to have repairs done. And that the form is for the building to qualify.,Daniel,WA,,,,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,,1,,,,
140,8/31/2010 0:00,Person,,Christian,E,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/25/2011,1,,,,
140,9/1/2010 0:00,Person,,Christian,E,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/25/2011,1,,,,
140,9/3/2010 0:00,Person,Helped him fill out envelope to mail money order for rent to MHA.  (MHA was closed),Daniel,"E, C",,,,,,NEW,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/25/2011,1,,,,
140,9/8/2010 0:00,Person,,,E,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/25/2011,1,,,,
140,11/9/2010 0:00,Person,(ATT),,E,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,1,,,,
140,11/15/2010 0:00,Person,(ATT),,E,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/25/2011,1,,,,
140,11/29/2010 0:00,Person,"(ATT), Assurance Wireless",Christian,EE,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,Assurance Wireless,,,Cap - note/outcome but not att - 2/25/2011,1,,,,
140,11/30/2010 0:00,Person,(ATT),Christian,ED,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/25/2011,1,,,,
140,12/6/2010 0:00,Person,(ATT),Christian,ED,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/25/2011,1,,,,
140,12/7/2010 0:00,Person,,Christian,ED,,,12/7/2010 0:00,Eu,1/11/2011 0:00,NEW,,Get Section 8 recertify,,,,Get Approval of the Section 8,,Get him to won his  apt.  true a Cooper Square Mutual Housing Assoc. Coop-=ownership program soon to be form.,,Now get him Sect. recertification approved .,,,FALSE,FALSE,,,,,,Cap - note/outcome but not att - 2/25/2011,1,,,,
140,12/8/2010 0:00,Person,(ATT),Christian,ED,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,1,,,,
140,12/14/2010 0:00,Person,(ATT),Christian,ED,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,1,,,,
140,12/15/2010 0:00,Person,(ATT),Christian,ED,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,1,,,,
140,12/23/2010 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,,,,,
140,12/30/2010 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,,,,,
140,1/3/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,,,,,
140,1/11/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,,,,,
140,1/19/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,,,,,
140,1/25/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,,,,,
140,1/26/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,Cap - note/outcome and att - 2/27/2011,,,,,
140,2/22/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
140,2/23/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
140,3/2/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
140,3/3/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
140,3/4/2011 0:00,,(ATT),,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
140,11/21/2011 16:54,,It must be his Medicaid card that he lost (which works for Food stamps); left a msg for him to go to the Medicaid office.,,,,,,,,CONT,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,
140,12/19/2011 0:00,,Tenant needed Social Security letter filled.,,,,,12/21/2011 12:34,E1,,NARR,,Tenant needed to re-certify his section 8 application  and also wanted help getting his Social Security re-certification letter mailed.,,,,Return all forms to appropriate agencies,,Help tenant continue to re-certify documents on a timely manner.,,will work with tenant in keeping documents in order and sending  them on time.,,,TRUE,TRUE,,,,,,,,,,,
140,1/31/2012 17:19,,"Section 8 needed more information regarding his recertification, the forms was completed, sign and copy was made, and giving to client to mail it back to Section 8 office.",Christian,ED,,,,,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
140,1/31/2012 17:24,,"Need file School Tax Credit for 2011, done and givingto client to be mail it.",Christian,EE,,,,E1,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
140,3/30/2012 0:00,,,,,,,,E2,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
140,5/9/2012 15:45,,Stop by to give us copy of his section recertification approval.,,ED,,,,E3,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
140,8/8/2012 14:41,,Needs to call HRA to change HQS Inspection. Called HRA and left Voice Mail. We will wait for a call back.,,ED,,,,Inspection Re-scheduling,,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
140,12/5/2012 0:00,,"Sec 8 approved, effective 1/1/2013",,ED,,,12/10/2012 16:43,E4,12/5/2012 0:00,CONT,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
140,1/7/2013 0:00,Person,"1/15/2013 today we completed all the forms, make copies of the supporting documents for the Section 8, still pending the bank statement, according to the client he will bringing tomorrow or the day after.",Christian,ED,,,1/15/2013 17:50,,,NEW,,"Mr.Nova, Needed help to completed his section 8 application in order to maintain his apartment afforable.",Mr. Nova is a long time resident of the Cooper square site and need help because he is mentally ill.,"Mr. Nova. he will fallow instruction, and bring all needed documents in order to completed his section 8 application, like go to S.S. office and get is award letter, go to the bank to fill oiut the statement that are needed for the section 8, bring his ConEd and phone bill and all needed information to completed the application.","To completed all the section 8 application forms, make copied of that and all other supporting documents. in order that get to sign and mail or take the the section 8 office.","Get Mr, Nova to put together all needed documents and bring to this office in order to completed the application.",1/15/2013,"Completed fill out all the forms for the section 8, make copies of all of the supporting documents, get Mr. Nova to sign it, and giving to him to mail it or delivery in person to Section 8 office.",13-Apr,"I will completed all the forms, make copies to all of the documents of the Section 8 package.",He will get all the supporting documents in order to completed the section packge.,,TRUE,TRUE,8064,440,Sec8,151,yr,,1,,,,
